id,genre,track_name,artist_name,valence,energy,label
1dYGSsernyg8N0bMRgtO9Y,acoustic,I Was Only 19 (Live From 'The People Speak'),Julia Stone,0.231,0.135,2
7t8XsIXmzip7ZOdBm4OZtz,acoustic,Turn To You - (Mother's Day Dedication),Justin Bieber,0.279,0.72,1
2ds9vlk6o6BRCc2FAkmOvX,acoustic,Beat It,Fall Out Boy,0.841,0.936,0
6mTnbyE5dsvXksrL86EbJU,acoustic,Handens fem fingrar,Lisa Nilsson,0.468,0.104,1
5O7plifmVLzQK6PQaoPbTB,acoustic,Move Like You Want - Live In York/2011,Ben Howard,0.604,0.755,3
2Uj2BjZXVv9WvYFEVl8TDi,acoustic,Silent Way,Milo Greene,0.0605,0.296,2
2WgXC4t6US3sPgvDQjuyi2,acoustic,Everybody Wants To Rule the World,Sue Ellen,0.179,0.112,2
265Anh9hGoozFigjUVLUeD,acoustic,New Shoes,Paolo Nutini,0.854,0.735,0
2bfRfAO1RNWcpNtWJv042o,acoustic,Some Die Young,Laleh,0.279,0.678,1
5oj4FLgWpYNgl1H6zK5AVR,acoustic,Slide,Boyce Avenue,0.572,0.37,3
3bidbhpOYeV4knp8AIu8Xn,afrobeat,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,0.847,0.922,0
63FxESBpp9ZVzg2KrrKWQ8,afrobeat,Simbo,Ali Farka Touré,0.724,0.383,3
3YJlTDtUXu1sGh8lunblkG,afrobeat,Only Girl (In The World),Rihanna,0.685,0.738,3
4Q33HiVThLk7DDDAfyu8S2,afrobeat,Onyame eyhira(produced By Kaywa) (feat. Castro),Sarkodie,0.511,0.856,3
7wxe44zkqshDfO3XRx9TE1,afrobeat,Oh Amadou - feat. Bertrand Cantat,Amadou & Mariam,0.547,0.706,3
7lwKop2eD4Uj3TZwpgCl57,afrobeat,Please Don't Stop,Richard Bona,0.712,0.567,3
69VsivnnXLXkuTGpBxyMxI,afrobeat,Didi,Khaled,0.804,0.812,0
2aY8kR8NJwa04C7fIcS74W,afrobeat,Jaman Moro,Afel Bocoum,0.888,0.401,0
2pfHT1jlF2OaRaKYNjRfqs,afrobeat,Aluguntugui,Keche,0.78,0.837,0
4BqMk02gtRlgUTJI4AsIUM,afrobeat,Ikwokrikwo,Flavour,0.948,0.895,0
0XZwpwtV9Vk48Ykzb7KIsj,alt-rock,Energy,The Apples In Stereo,0.637,0.867,3
6S1X3oZV4NwJejOYOSz4uj,alt-rock,Father Of Mine,Everclear,0.837,0.944,0
4DfGcn3VVcdmmJl1PWNAkv,alt-rock,Karate Lips,Electric Six,0.472,0.965,1
4pkFvX3AkuiSGPkv8gMlks,alt-rock,Save Me,Remy Zero,0.294,0.971,1
4Az4FAhbPQ8PcT7BtuCfJh,alt-rock,Only Run,Clap Your Hands Say Yeah,0.196,0.84,2
1xNhYOLcGR14v5JJLe7aaZ,alt-rock,Zone,John Frusciante,0.202,0.616,2
4S6BDExVCTDES6DXGLaGh7,alt-rock,Between The Raindrops,Lifehouse,0.236,0.63,2
6uVnBJJKPLAw7qwnDernst,alt-rock,Walking With Thee,Clinic,0.412,0.6,1
4T7fVN4ZOFE3JoGyaxZL6O,alt-rock,Falls Apart,Sugar Ray,0.599,0.897,3
5s8zZQ9G7XOoJygkfCHQ2h,alt-rock,Where I'm From,Eels,0.743,0.538,0
4wEycnASy9jEb7M0PlyzYn,alternative,Give Your Light Off,Woods,0.281,0.442,1
1xdZeRTNLrVXRmGOWqdXmr,alternative,Hopeless Wanderer,Mumford & Sons,0.265,0.601,1
1p5fFes80K9IPnZFqNca53,alternative,Cousins,Vampire Weekend,0.808,0.809,0
293Lszb9W5NLNBerEjLBzb,alternative,Would That Not Be Nice,Divine Fits,0.965,0.668,0
1Q8reqCOXg2yqNr47HGo9X,alternative,Norgaard,The Vaccines,0.859,0.847,0
43O3Iu8mDJy10i6k8SVRXX,alternative,Take It or Leave It,Cage The Elephant,0.65,0.847,3
30SjdIdTMhBSe33nFnBFkC,alternative,Temple,Kings of Leon,0.568,0.644,3
0ucps9UAU7I7MmTbnk2YaK,alternative,Ash Tree Lane,MS MR,0.392,0.896,1
7c3nNKoU8YQZP0b9iY1DPr,alternative,Free,Twin Atlantic,0.212,0.932,2
1IJzsFooQKD4x1tnU7MXyH,alternative,Blood Pressure,Mutemath,0.632,0.939,3
7AFWR8Ekh1QMqoLPPFMahO,ambient,A Circular Reeduction,Tycho,0.336,0.48,1
6SPEz0BUmkCe0uuSRgQGaB,ambient,Alternate Universe,Aaron Marshall,0.0362,0.0832,2
3RAkRmc5LdRkUlKfDhkR7X,ambient,Bob In Your Gait,Julianna Barwick,0.0399,0.211,2
34Oyuo4A14MRdn8auc0cix,ambient,Perpetual Dawn,The Orb,0.38,0.786,1
3ivi15jAUt262SxGC8vQl4,ambient,Calcium Needles,Brian Eno,0.0769,0.2,2
2FebRQlRkOMT8I67GarB57,ambient,Power of Persuasion,Oneohtrix Point Never,0.0399,0.475,2
6uW8KTrcoTXRcU4xYP8TqQ,ambient,Mono No Aware,Hammock,0.0455,0.216,2
24JQck13lYuUCMKHHu6mWM,ambient,Hyperborea,Biosphere,0.114,0.123,2
6djRBKQoWVHgnFZNFP7dtd,ambient,Lost,Hecq,0.613,0.15,3
6ortiAMTtp1BVEhmZSdzFP,ambient,Hatred of Music II,Tim Hecker,0.032,0.492,2
6D8RAdo2ae1qIKna1VEJj3,anime,らむねサンセット,i☆Ris,0.676,0.797,3
1OPSl2Z4RZseUILhJAFXwv,anime,It's amazing show time☆,岡本未夕(CV:高木美佑),0.848,0.983,0
6wCRMbfnaAXzmnS7sa7LKE,anime,ステラ・ドライブ,七瀬佳乃(CV:青山吉能),0.612,0.959,3
2trmyoaz9fSAwXYh48SGu2,anime,真昼,Kalafina,0.186,0.0752,2
4FSCHF1k9qmJTaChA6JqKB,anime,青い栞,Galileo Galilei,0.247,0.726,2
6QW8xje2Cpqgns0gEqAX2L,anime,sweet'n hot,水戸郁魅(CV.石上静香),0.725,0.921,3
1dCwbGSB5bGGQKG4k04sog,anime,enigmatic karma,Eir Aoi,0.535,0.957,3
73Bvn2gCPn7jkInrfBP4sQ,anime,カラフル,My Little Lover,0.396,0.753,1
19GupiO9hU4gg4xH7knMxl,anime,笑顔にしたいから,田所 恵(CV.高橋未奈美),0.772,0.785,0
01bBrxFTT6bNIwzYMNodNz,anime,アリスと時の揺りかご,かと*ふく(加藤英美里&福原香織),0.409,0.416,1
2Xl0vu1W0RKLhsUKrDSUAf,black-metal,Channeling the Power of Minds Into a New God,Burzum,0.0571,0.17,2
5NT3OEtUykljsQaHrAIv0j,black-metal,Inn I Evighetens Morke - / Part 1,Dimmu Borgir,0.072,0.617,2
5nCnSnLtotQ8eB4E189U91,black-metal,Withstand The Fall Of Time,Immortal,0.0567,0.964,2
0UiQgFEHME5gLBAOWv3wn6,black-metal,An Elegy of Icaros,Emperor,0.119,0.932,2
7HGxJ1IIC9tDcjI30Nr8da,black-metal,The Sighting Is a Portent of Doom,Carach Angren,0.0713,0.889,2
1MGSbE4IoSOdRAiqBZpfiS,black-metal,The Crying Orc,Burzum,0.459,0.451,1
1J1Z0XIL18hClKmm5T5ytO,black-metal,Heavenly Perverse,Dimmu Borgir,0.0399,0.981,2
5cUCG5g7pUvHnoYbI9Rv6W,black-metal,Funeral In Carpathia,Cradle Of Filth,0.105,0.929,2
2R4OZKmJ1NCfpACqI8ZDnK,black-metal,En As I Dype Skogen,Darkthrone,0.0196,0.999,2
3rvjddVeuxmoK6kz18SrRd,black-metal,...And the Consequence Macabre,Carach Angren,0.379,0.888,1
6C37Thprsz5GG12bI0q2mL,bluegrass,Fortunate Son,Pickin' On Series,0.86,0.769,0
4paa6fFGnUOmohBmoCzmdx,bluegrass,High On the Mountain,The Del McCoury Band,0.801,0.458,0
59qUyDgF79LTBVd0v8DYzt,bluegrass,The Fox - Live From The Freight And Salvage/2000,Nickel Creek,0.799,0.531,0
6XTk9WS1FDzZ9dNGNGRgd5,bluegrass,Seven Sundays In A Row,Blue Highway,0.561,0.375,3
2kuHnZDirrymIRYKkjTn56,bluegrass,Can You Run,The Steeldrivers,0.483,0.638,1
1x16aQDIg7sIirKfMKZJNs,bluegrass,It's Mighty Dark to Travel,Bill Monroe & His Blue Grass Boys,0.762,0.407,0
5KMWwtJv3Ll2ROZfMerQs0,bluegrass,Same Old Train,Marty Stuart,0.377,0.601,1
2qMCuDiwY7wrr9ytywIdjo,bluegrass,Boodle-De-Bum-Bum,Carolina Chocolate Drops,0.76,0.402,0
6Qz99ZxnmGXRIpnvqE9gZW,bluegrass,Sometimes,Punch Brothers,0.399,0.438,1
5MgGUO8rBIFvdlTq3EbJVm,bluegrass,Help Yourself,The Devil Makes Three,0.892,0.71,0
6raKumUf0iCaBRZWG25KY2,blues,Thank Me Someday,Buddy Guy,0.578,0.675,3
